name;serving_size;energy_kcal;protein_g;carbohydrate_g;fat_g;sugar_g;sodium_mg;fiber_g
Keju parmesan;28.42 g;420.0;28.42;13.91;27.84;0.0;0.0;0.0
Beras cerdas;2.60 g;350.0;2.7;82.3;1.1;0.0;358.0;6.2
Indomie Goreng Rasa Rendang;3 g;150.0;9.0;59.0;16.0;9.0;1060.0;3.0
Biokul plain yogurt;5 g;90.0;5.0;15.0;0.5;7.0;0.0;0.0
Mr. Bread Roti tawar kupas;1.50 g;119.0;4.5;21.5;2.0;1.0;209.0;1.5
Jukku pallu kaloa;Tidak Diketahui;2.30 g;15.0;15.2;8.8;4.3;0.0;605.0
Mcdonald Mcnugget;1 g;270.0;15.0;16.0;16.0;0.0;0.0;1.0
Ayam; segar;Tidak Diketahui;1.60 g;75.0;13.8;0.7;1.9;0.0
Teh Kotak Rasa Lemon;0 g;100.0;0.0;23.0;0.0;20.0;25.0;0.0
Jambu air;Tidak Diketahui;0.80 g;46.0;0.6;11.8;0.2;0.0;11.0
SUN Bubur Bayi;4 g;160.0;4.0;31.0;2.5;0.0;100.0;0.0
Eceng;Tidak Diketahui;2 g;19.0;1.0;3.8;0.2;0.0;45.0
Jagung muda;Tidak Diketahui;0.80 g;142.0;5.0;30.3;0.7;0.0;5.0
Getuk pisang;0.70 g;144.0;1.1;34.1;0.4;0.0;0.0;0.4
Lupis ketan;0.60 g;164.0;1.8;34.5;2.1;0.0;0.0;0.7
Jambu monyet;Tidak Diketahui;0.30 g;64.0;0.7;15.8;0.6;0.0;12.0
Kacang goyang;1.50 g;516.0;14.7;44.4;31.1;0.0;2.0;0.0
Mie Sedaap Cup Mi Kuah Soto;7 g;370.0;8.0;48.0;16.0;2.0;1070.0;7.0
Nutricake Brownies Coklat;2 g;160.0;2.0;33.0;2.5;0.0;90.0;0.0
Starbucks caffe americano;1 g;15.0;1.0;3.0;0.0;0.0;0.0;0.0
vanhouten cocoa powder;6 g;120.0;6.0;15.0;4.0;0.0;0.0;0.0
Bawang bombay;Tidak Diketahui;0.60 g;43.0;1.4;10.3;0.2;0.0;12.0
Tepung Arrowroot;0.30 g;355.0;0.7;85.2;0.2;0.0;2.0;0.4
Honey Stars;1 g;110.0;1.0;25.0;0.5;8.0;0.0;1.0
Kelawi; segar;Tidak Diketahui;1 g;118.0;1.5;27.2;0.3;0.0
Bagea kw 1;0.60 g;416.0;6.5;76.3;9.4;0.0;0.0;0.4
Tepung Mocaf;1.30 g;350.0;1.2;85.0;0.6;0.0;8.0;6.0
Indomie mi rendang;3 g;420.0;9.0;59.0;16.0;9.0;0.0;3.0
Mangga harumanis;Tidak Diketahui;0.80 g;46.0;0.4;11.9;0.2;0.0;2.0
Kaholeo;Tidak Diketahui;10.50 g;413.0;28.7;29.8;19.8;0.0;0.0
Origo coffe es kopi susu;6.23 g;191.0;6.23;25.88;7.22;20.51;0.0;0.0
Daun pare;Tidak Diketahui;1.60 g;49.0;2.7;8.4;1.0;0.0;7.0
Mie Sedaap instan white curry;2 g;360.0;8.0;50.0;14.0;3.0;840.0;2.0
Bantal;0.60 g;190.0;3.3;43.5;0.3;0.0;164.0;3.4
Sarimi Gelas Rasa Soto Ayam;2 g;60.0;3.0;16.0;7.0;2.0;940.0;2.0
MYTEA Teh Oolong 450 ml;0 g;0.0;0.0;18.0;0.0;0.0;20.0;0.0
Kuaci Rebo green tea;2 g;110.0;6.0;2.0;9.0;1.0;180.0;2.0
Nestle corn flakes;2 g;110.0;2.0;24.0;0.5;0.0;0.0;0.0
Mi ABC cup soto ayam;4 g;280.0;7.0;34.0;13.0;2.0;0.0;4.0
Kembang tahu;3.20 g;380.0;48.9;23.3;13.8;0.0;55.0;0.0
Ikan Bandeng;Tidak Diketahui;1.20 g;123.0;20.0;0.0;4.8;0.0;67.0
Kacang sukro;2.70 g;484.0;8.8;57.7;26.1;0.0;0.0;1.8
Susu dancow rasa coklat;5 g;160.0;5.0;23.0;6.0;0.0;100.0;0.0
Arrowroot;Tidak Diketahui;1.20 g;102.0;1.0;24.1;0.2;0.0;36.0
Starbucks cappuccino (wholemilk);7 g;140.0;7.0;12.0;7.0;0.0;0.0;0.0
kopi seduh;0.74 g;5.0;0.74;0.42;0.0;0.0;0.0;0.0
Cornetto Silverqueen;2 g;110.0;3.0;28.0;12.0;18.0;50.0;2.0
Mie Lemonilo kari ayam;2 g;270.0;8.0;48.0;5.0;1.0;1036.0;2.0
Bamboe Bumbu Rawon;1 g;15.0;1.0;2.0;1.5;1.0;1020.0;1.0
Kacang mete/biji jambu monyet goreng;2.50 g;629.0;20.4;19.8;56.3;0.0;13.0;1.1
Daun ndusuk;Tidak Diketahui;3 g;166.0;1.7;38.8;0.5;0.0;40.0
Kotiu hinela tawang nggole;1.90 g;46.0;2.2;6.0;1.5;0.0;316.0;3.8
Fruit Tea yuzu;0 g;220.0;0.0;54.0;0.0;50.0;0.0;0.0
yuzu tea;0 g;140.0;0.0;34.0;0.0;0.0;20.0;0.0
Keju Snow Brand Cheddar;5 g;100.0;5.0;2.0;8.0;0.0;360.0;0.0
Sonice Chicken nugget;16 g;250.0;16.0;14.0;14.0;0.0;0.0;0.0
KFC extra crispy paha bawah;10 g;170.0;10.0;5.0;12.0;0.0;0.0;0.0
Tony roma's onion loaf (full;Tidak Diketahui;23 g;1200.0;23.0;205.0;23.0;12.0;0.0
SUPERIOR Bihun Jagung urai;6 g;250.0;0.0;61.0;0.0;0.0;30.0;6.0
Roti warna sawo matang;0.90 g;249.0;7.9;49.7;1.5;0.0;500.0;0.0
Tauco cap DAS;Tidak Diketahui;7.60 g;358.0;7.5;70.4;4.3;0.0;0.0
Paria putih kukus;0.60 g;16.0;0.8;3.4;0.2;0.0;4.0;1.2
Daun jambu mente muda;Tidak Diketahui;0.70 g;78.0;4.6;16.2;0.5;0.0;14.0
Burger double whopper;2 g;900.0;48.0;49.0;58.0;11.0;0.0;2.0
Kacang hijau var. Bakti;Tidak Diketahui;3.10 g;350.0;17.1;70.7;1.8;0.0;46.0
Keripik tempe abadi murni;2.70 g;542.0;40.3;11.6;42.4;0.0;0.0;2.2
Tauco cap beruang;Tidak Diketahui;8.40 g;347.0;7.4;67.6;5.2;0.0;0.0
Kerupuk kemplang panggang;3 g;356.0;9.7;76.9;1.1;0.0;0.0;1.0
Woku ubi;1.10 g;143.0;3.1;15.0;7.8;0.0;353.0;7.0
Fox's Fruits;0 g;15.0;0.0;4.0;0.0;3.0;0.0;0.0
Ayam goreng poineer;Tidak Diketahui;2.70 g;295.0;37.4;0.6;14.7;0.0;0.0
Keju greenfields ricotta;0 g;110.0;4.0;2.0;9.0;1.0;0.0;0.0
Indomie goreng Jumbo;31 g;560.0;21.0;80.0;13.0;13.0;0.0;31.0
Beras giling var pelita;Tidak Diketahui;0.60 g;369.0;9.5;77.1;1.4;0.0;34.0
Cimory Yogurt Squeeze Peach;2 g;70.0;2.0;11.0;2.0;0.0;60.0;0.0
Melinjo emping tebal goreng manis;2.30 g;439.0;10.0;65.7;16.4;0.0;0.0;0.0
Yogurt frozen pinkberry (Besar);0 g;390.0;15.0;81.0;1.0;77.0;0.0;0.0
Sagu lempeng;0.10 g;347.0;0.9;85.2;0.3;0.0;11.0;4.7
Bamboe soto daging;1 g;5.0;1.0;2.0;0.5;1.0;730.0;1.0
Jagung;Tidak Diketahui;1.20 g;355.0;9.2;73.7;3.9;0.0;11.0
Saladstop Hail caesar w/o chicken;3.90 g;471.9;22.8;19.0;34.3;3.5;0.0;3.9
Masako Kaldu Ayam;0 g;0.0;0.0;0.0;0.0;0.0;610.0;0.0
Enting-enting gepuk hello kity;1 g;538.0;13.6;52.6;30.3;0.0;0.0;0.2
Cimory Fresh Milk Cashew;10 g;260.0;10.0;33.0;9.0;0.0;140.0;0.0
Outback steackhouse Victoria's Filet;53 g;320.0;53.0;0.0;12.0;0.0;0.0;0.0
Kereput;1 g;580.0;4.8;51.1;39.6;0.0;0.0;0.0
Kopi Indocafe cappuccino;2 g;110.0;2.0;19.0;3.0;14.0;0.0;0.0
Rambutan binjai;0.30 g;76.0;0.5;18.0;0.2;0.0;22.0;3.8
nestle sereal corn flakes;2 g;110.0;2.0;24.0;0.5;0.0;180.0;0.0
